date_assumed_office,name,office_title,party
,Carol Shea-Porter,U.S. House New Hampshire District 1,Democratic Party
,Dave Reichert,U.S. House Washington District 8,Republican Party
,Jeb Hensarling,U.S. House Texas District 5,Republican Party
2001,Bill Shuster,U.S. House Pennsylvania District 9,Republican Party
,John Curtis,U.S. House Utah District 3,Republican Party
,Ron Estes,U.S. House Kansas District 4,Republican Party
1993,Edward Royce,U.S. House California District 39,Republican Party
2015,David Trott,U.S. House Michigan District 11,Republican Party
2011,Diane Black,U.S. House Tennessee District 6,Republican Party
,Luis V. Gutierrez,U.S. House Illinois District 4,Democratic Party
2011,Kristi L. Noem,U.S. House South Dakota At-large District,Republican Party
,Gwen Moore,U.S. House Wisconsin District 4,Democratic Party
,Markwayne Mullin,U.S. House Oklahoma District 2,Republican Party
2009,Jared Polis,U.S. House Colorado District 2,Democratic Party
,Stacey Plaskett,U.S. House U.S. Virgin Islands At-large District,Democratic Party
,Steve Pearce,U.S. House New Mexico District 2,Republican Party
,Luke Messer,U.S. House Indiana District 6,Republican Party
2011,Jim Renacci,U.S. House Ohio District 16,Republican Party
2011,Lou Barletta,U.S. House Pennsylvania District 11,Republican Party
2003,Marsha Blackburn,U.S. House Tennessee District 7,Republican Party
2003,Mike Rogers,U.S. House Alabama District 3,Republican Party
1973,Don Young,U.S. House Alaska At-large District,Republican Party
,Andy Biggs,U.S. House Arizona District 5,Republican Party
2011,Rick Crawford,U.S. House Arkansas District 1,Republican Party
,David G. Valadao,U.S. House California District 21,Republican Party
2007,Kevin McCarthy,U.S. House California District 23,Republican Party
1999,Mike Thompson,U.S. House California District 5,Democratic Party
,Paul Cook,U.S. House California District 8,Republican Party
,Scott Peters,U.S. House California District 52,Democratic Party
1995,Zoe Lofgren,U.S. House California District 19,Democratic Party
2009,Gregg Harper,U.S. House Mississippi District 3,Republican Party
2017,Jacky Rosen,U.S. House Nevada District 3,Democratic Party
,Colleen Hanabusa,U.S. House Hawaii District 1,Democratic Party
,Frederica S. Wilson,U.S. House Florida District 24,Democratic Party
1989,"John J. Duncan, Jr.",U.S. House Tennessee District 2,Republican Party
2001,Adam Schiff,U.S. House California District 28,Democratic Party
,Alan Lowenthal,U.S. House California District 47,Democratic Party
,Ami Bera,U.S. House California District 7,Democratic Party
1993,Anna Eshoo,U.S. House California District 18,Democratic Party
1999,Barbara Lee,U.S. House California District 13,Democratic Party
1997,Brad Sherman,U.S. House California District 30,Democratic Party
,Bradley Byrne,U.S. House Alabama District 1,Republican Party
,Bruce Westerman,U.S. House Arkansas District 4,Republican Party
1989,Dana Rohrabacher,U.S. House California District 48,Republican Party
,Sanford Bishop Jr.,U.S. House Georgia District 2,Democratic Party
2011,David Schweikert,U.S. House Arizona District 6,Republican Party
2003,Devin Nunes,U.S. House California District 22,Republican Party
1997,Diana DeGette,U.S. House Colorado District 1,Democratic Party
,Alfred Lawson,U.S. House Florida District 5,Democratic Party
2011,Austin Scott,U.S. House Georgia District 8,Republican Party
2005,Doris Matsui,U.S. House California District 6,Democratic Party
2011,Adam Kinzinger,U.S. House Illinois District 16,Republican Party
,Barry Loudermilk,U.S. House Georgia District 11,Republican Party
,Doug LaMalfa,U.S. House California District 1,Republican Party
2007,Doug Lamborn,U.S. House Colorado District 5,Republican Party
2009,Duncan Hunter,U.S. House California District 50,Republican Party
2007,Ed Perlmutter,U.S. House Colorado District 7,Democratic Party
,Bill Foster,U.S. House Illinois District 11,Democratic Party
,Bill Posey,U.S. House Florida District 8,Republican Party
,Eric Swalwell,U.S. House California District 15,Democratic Party
,Evan Jenkins,U.S. House West Virginia District 3,Republican Party
,French Hill,U.S. House Arkansas District 2,Republican Party
,Michelle Lujan Grisham,U.S. House New Mexico District 1,Democratic Party
,Gary Palmer,U.S. House Alabama District 6,Republican Party
1999,Grace Napolitano,U.S. House California District 32,Democratic Party
,Carlos Curbelo,U.S. House Florida District 26,Republican Party
,Cheri Bustos,U.S. House Illinois District 17,Democratic Party
,Daniel Lipinski,U.S. House Illinois District 3,Democratic Party
2008,Andre Carson,U.S. House Indiana District 7,Democratic Party
2008,Jackie Speier,U.S. House California District 14,Democratic Party
,Jared Huffman,U.S. House California District 2,Democratic Party
,Darin LaHood,U.S. House Illinois District 18,Republican Party
2011,Jeff Denham,U.S. House California District 10,Republican Party
,Darren Soto,U.S. House Florida District 9,Democratic Party
2007,Jerry McNerney,U.S. House California District 9,Democratic Party
2005,Jim Costa,U.S. House California District 16,Democratic Party
,Debbie Wasserman Schultz,U.S. House Florida District 23,Democratic Party
,Jimmy Gomez,U.S. House California District 34,Democratic Party
,Jimmy Panetta,U.S. House California District 20,Democratic Party
,Doug Collins,U.S. House Georgia District 9,Republican Party
,Drew Ferguson,U.S. House Georgia District 3,Republican Party
,"Earl ""Buddy"" Carter",U.S. House Georgia District 1,Republican Party
,Elizabeth Esty,U.S. House Connecticut District 5,Democratic Party
