date_assumed_office,name,office_title,party
,Mike Conaway,U.S. House Texas District 11,Republican Party
,Mike Kelly,U.S. House Pennsylvania District 3,Republican Party
,Amata Radewagen,U.S. House American Samoa At-large District,Republican Party
2013,Peter T. King,U.S. House New York District 2,Republican Party
,Peter J. Roskam,U.S. House Illinois District 6,Republican Party
,Rodney Davis,U.S. House Illinois District 13,Republican Party
,Roger Williams,U.S. House Texas District 25,Republican Party
,Rosa L. DeLauro,U.S. House Connecticut District 3,Democratic Party
,Steve King,U.S. House Iowa District 4,Republican Party
,Theodore E. Deutch,U.S. House Florida District 22,Democratic Party
,Tim Ryan,U.S. House Ohio District 13,Democratic Party
,Tom Rice,U.S. House South Carolina District 7,Republican Party
,Mike Bost,U.S. House Illinois District 12,Republican Party
,Walter B. Jones,U.S. House North Carolina District 3,Republican Party
,Yvette D. Clarke,U.S. House New York District 9,Democratic Party
,Annie Kuster,U.S. House New Hampshire District 2,Democratic Party
,Cedric Richmond,U.S. House Louisiana District 2,Democratic Party
,Claudia Tenney,U.S. House New York District 22,Republican Party
2011,David N. Cicilline,U.S. House Rhode Island District 1,Democratic Party
,Donald McEachin,U.S. House Virginia District 4,Democratic Party
2015,Garret Graves,U.S. House Louisiana District 6,Republican Party
,Jamie Raskin,U.S. House Maryland District 8,Democratic Party
,Jim Banks,U.S. House Indiana District 3,Republican Party
2001,Jim Langevin,U.S. House Rhode Island District 2,Democratic Party
,Charlie Crist,U.S. House Florida District 13,Democratic Party
,Anthony G. Brown,U.S. House Maryland District 4,Democratic Party
,Lisa Blunt Rochester,U.S. House Delaware At-large District,Democratic Party
,Lloyd Smucker,U.S. House Pennsylvania District 16,Republican Party
,Mike Johnson,U.S. House Louisiana District 4,Republican Party
,Pramila Jayapal,U.S. House Washington District 7,Democratic Party
,Ralph Abraham,U.S. House Louisiana District 5,Republican Party
,Scott Taylor,U.S. House Virginia District 2,Republican Party
,Steve Scalise,U.S. House Louisiana District 1,Republican Party
,Thomas Garrett,U.S. House Virginia District 5,Republican Party
,John A. Yarmuth,U.S. House Kentucky District 3,Democratic Party
,Martha McSally,U.S. House Arizona District 2,Republican Party
2009,John Garamendi,U.S. House California District 3,Democratic Party
,Bob Goodlatte,U.S. House Virginia District 6,Republican Party
,Kathleen M. Rice,U.S. House New York District 4,Democratic Party
,Frank LoBiondo,U.S. House New Jersey District 2,Republican Party
,Tim Walz,U.S. House Minnesota District 1,Democratic Party
,Tom Suozzi,U.S. House New York District 3,Democratic Party
,George E.B. Holding,U.S. House North Carolina District 2,Republican Party
2009,Marcia Fudge,U.S. House Ohio District 11,Democratic Party
,Alma Adams,U.S. House North Carolina District 12,Democratic Party
,Peter Visclosky,U.S. House Indiana District 1,Democratic Party
2011,Scott DesJarlais,U.S. House Tennessee District 4,Republican Party
,Steny Hoyer,U.S. House Maryland District 5,Democratic Party
,Thomas J. Rooney,U.S. House Florida District 17,Republican Party
2003,Tom Cole,U.S. House Oklahoma District 4,Republican Party
,Trey Hollingsworth,U.S. House Indiana District 9,Republican Party
1987,Lamar Smith,U.S. House Texas District 21,Republican Party
,Mark Walker,U.S. House North Carolina District 6,Republican Party
,Vicky Hartzler,U.S. House Missouri District 4,Republican Party
,Virginia Foxx,U.S. House North Carolina District 5,Republican Party
,Warren Davidson,U.S. House Ohio District 8,Republican Party
,Ted Poe,U.S. House Texas District 2,Republican Party
,Ron DeSantis,U.S. House Florida District 6,Republican Party
2003,Madeleine Z. Bordallo,U.S. House Guam At-large District,Democratic Party
2007,Niki Tsongas,U.S. House Massachusetts District 3,Democratic Party
2018-04-12,Conor Lamb,U.S. House Pennsylvania District 18,Democratic Party
2018-05-07,Debbie Lesko,U.S. House Arizona District 8,Republican Party
